                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2924,                 1.0686,                 1.8516,                0.86825,                0.82489,                0.89709,                 0.7582,                 1.3594,                 1.3843,                 2.0023,             0.00011542,             0.00011542,             0.00011542
                     35,                 1.2751,                 1.0455,                 1.8488,                0.82659,                0.79615,                0.87662,                 0.7297,                 1.4065,                 1.4771,                 2.0217,             0.00010882,             0.00010882,             0.00010882
                     36,                 1.2478,                 1.0247,                 1.8493,                 0.8158,                0.83627,                 0.8835,                0.74358,                 1.3486,                 1.4011,                 2.0045,             0.00010223,             0.00010223,             0.00010223
                     37,                 1.2394,                 1.0071,                 1.8287,                0.83755,                0.85248,                0.89642,                0.75847,                 1.3391,                 1.3536,                 1.9912,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     38,                 1.2224,                0.95964,                 1.8273,                0.85013,                0.82538,                0.89067,                0.74747,                 1.3445,                 1.4692,                 1.9972,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     39,                 1.2273,                0.95766,                 1.8282,                0.85257,                0.81174,                0.88992,                0.75712,                 1.3206,                 1.3904,                   1.98,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     40,                 1.2106,                0.97139,                 1.8292,                0.84365,                0.83753,                0.89078,                0.75226,                 1.3466,                 1.3739,                 1.9966,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     41,                0.98188,                0.50267,                 1.7465,                0.86507,                0.78528,                0.89102,                0.75274,                 1.3319,                 1.4585,                 2.0114,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     42,                0.95355,                0.47641,                 1.7473,                 0.7986,                 0.8533,                 0.8889,                0.75187,                 1.3256,                 1.4139,                 2.0174,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     43,                0.93468,                0.45171,                 1.7305,                0.85865,                0.82144,                0.89118,                0.75278,                 1.3088,                 1.4495,                 2.0049,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     44,                0.89912,                0.44997,                 1.7138,                0.82454,                0.84858,                0.88952,                0.75343,                 1.3256,                  1.379,                 2.0186,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     45,                0.88407,                0.43562,                 1.7024,                0.84074,                0.84401,                0.89217,                0.76197,                 1.3278,                 1.3503,                 2.0206,              4.289e-05,              4.289e-05,              4.289e-05
                     46,                0.85466,                0.41648,                 1.7028,                 0.8763,                0.81139,                0.89448,                0.76335,                 1.3229,                 1.3423,                 2.0214,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     47,                0.84367,                0.40924,                 1.6932,                 0.8507,                0.84439,                0.90022,                0.77138,                 1.3115,                 1.2834,                 2.0303,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     48,                0.81339,                0.39958,                 1.6772,                0.87953,                0.80919,                0.89855,                0.77033,                  1.312,                 1.3447,                 2.0131,              2.311e-05,              2.311e-05,              2.311e-05
                     49,                0.79851,                0.38861,                  1.678,                 0.8747,                0.82108,                0.89919,                0.77373,                 1.3042,                 1.3308,                 2.0193,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     50,                0.79866,                0.38906,                 1.6725,                0.87894,                0.80075,                0.89692,                0.76942,                 1.3077,                 1.3594,                 2.0207,             9.9234e-06,             9.9234e-06,             9.9234e-06
